epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2387.67,0.47383,0.38557,1.04525,0.99112,1,0.995,0.93315,0.36788,0.28623,0.94109,0.000231213,0.000231213,0.000231213
89,2413.19,0.47142,0.39602,1.04529,0.99349,1,0.995,0.93525,0.37193,0.2819,0.94326,0.00021471,0.00021471,0.00021471
90,2438.85,0.46489,0.38755,1.03462,0.9951,0.9959,0.995,0.93066,0.37785,0.28818,0.94633,0.000198206,0.000198206,0.000198206
91,2464.78,0.37564,0.27566,0.91705,0.98906,1,0.995,0.93154,0.36818,0.28554,0.93655,0.000181703,0.000181703,0.000181703
92,2490.23,0.36284,0.26307,0.90641,0.99153,0.9918,0.99492,0.92926,0.37292,0.28026,0.94694,0.0001652,0.0001652,0.0001652
93,2515.66,0.35749,0.26502,0.90996,0.99558,0.98856,0.995,0.93068,0.3718,0.28263,0.94839,0.000148696,0.000148696,0.000148696
94,2541.09,0.35255,0.25836,0.89755,0.99096,0.98447,0.99479,0.93048,0.37015,0.28625,0.94906,0.000132193,0.000132193,0.000132193
95,2566.5,0.34859,0.25513,0.89925,0.98448,0.99325,0.99483,0.93664,0.36342,0.27723,0.93981,0.00011569,0.00011569,0.00011569
96,2592.01,0.34688,0.24968,0.89429,0.99132,0.9918,0.99484,0.93783,0.35424,0.27428,0.93418,9.91865e-05,9.91865e-05,9.91865e-05
97,2617.47,0.34068,0.25171,0.89623,0.99414,0.9918,0.99496,0.93509,0.35808,0.27324,0.93605,8.26832e-05,8.26832e-05,8.26832e-05
98,2642.9,0.33612,0.25044,0.89039,0.99256,0.9959,0.995,0.93718,0.3513,0.27646,0.93309,6.61799e-05,6.61799e-05,6.61799e-05
99,2668.34,0.33008,0.24293,0.88623,0.98759,0.9959,0.995,0.94069,0.35379,0.27447,0.93331,4.96766e-05,4.96766e-05,4.96766e-05
100,2693.83,0.33094,0.24389,0.88768,0.98955,0.99763,0.995,0.93826,0.35187,0.27423,0.93417,3.31733e-05,3.31733e-05,3.31733e-05
